***Game Begins***


***Game Stats***


***Game Stats***


Player_1 T Count 14 Army Count 1


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 1
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 1
New_Guinea 1




Player_2 T Count 14 Army Count 1


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 1
Southeast_Asia 1
Western_Australia 1




Player_3 T Count 14 Army Count 1


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 1
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 1
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 0


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 2
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 1
New_Guinea 1




Player_2 T Count 14 Army Count 0


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 2
Southeast_Asia 1
Western_Australia 1




Player_3 T Count 14 Army Count 0


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 2
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 1
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 0


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 2
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 1
New_Guinea 1




Player_2 T Count 14 Army Count 0


Northwest_Territory 1
Ontario 1
Eastern_United_States 1
Peru 1
Iceland 1
Great_Britain 1
Southern_Europe 1
Central_Africa 1
Madagascar 1
Yakutsk 1
Kamchatka 1
China 2
Southeast_Asia 1
Western_Australia 1




Player_3 T Count 14 Army Count 0


Greenland 1
Eastern_Canada 1
Central_America 1
Brazil 1
Scandinavia 2
Northern_Europe 1
North_Africa 1
East_Africa 1
Ural 1
Irkutsk 1
Japan 1
Middle_East 1
Indonesia 1
Eastern_Australia 1




***Game Stats***


Player_1 T Count 14 Army Count 0


Alaska 1
Alberta 1
Western_United_States 1
Venezuela 1
Argentina 2
Russia 1
Western_Europe 1
Egypt 1
South_Africa 1
Siberia 1
Mongolia 1
Afghanistan 1
India 1
New_Guinea 1




Player_2 T Count 14 Army Count 0


